bus_id,placa,linha,position,data,speed,sentido,trajeto,hodometro,direcao
13421,KWO8119,18,"-23.020821, -43.497754",1690405612000,34,volta,18 - JARDIM OCEÂNICO X RECREIO SHOPPING (EXPRESSO) [VOLTA],15172.8,275
13419,LTV5426,13,"-23.000669, -43.365963",1690404915000,0,volta,13 - ALVORADA X  MATO ALTO (EXPRESSO) [VOLTA],43563.8,96
27174,KQP5437,19,"-22.998832, -43.585164",1690405597000,0,volta,19 - SALVADOR ALLENDE X PINGO D'AGUA (EXPRESSO) [VOLTA],19026.9,284
47026,KYA7928,10,"-22.987597, -43.604731",1690405598000,50.9,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],32995.4,133
47024,KYS6559,0,"-22.918807, -43.60743",1689975710000,0,,,27809.6, 
86889,KRQ6878,20,"-23.002935, -43.423929",1690405594000,0,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],515199.1, 
12724,LMJ1118,20,"-23.005489, -43.432343",1690405600000,0,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],9892.1,253
27209,LSL9B07,18,"-23.015566, -43.471367",1690404462000,23.5,volta,18 - JARDIM OCEÂNICO X RECREIO SHOPPING (EXPRESSO) [VOLTA],10227.9,248
27176,LRK9563,19,"-23.002867, -43.423665",1690405614000,0,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],13716.7,71
30511,KPV2250,12,"-22.999026, -43.584184",1690404693000,0,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],49746.6,282
13427,KXE7711,0,"-23.001046, -43.367421",1690405606000,5.9,,,52018.4,210
12725,LMJ1327,12,"-23.008966, -43.446079",1690405600000,20,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],39423.6,254
12737,KXO9461,18,"-22.920542, -43.607195",1678193721000,0,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],4377.2, 
13404,KQO7823,0,"-22.915966, -43.630036",1690405609000,36.3,,,56235,258
47022,KRM7701,25,"-22.991981, -43.598535",1690405597000,0,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],13212.1, 
12736,LMJ4504,20,"-22.920224, -43.6081",1690404691000,0,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],15487.2,166
12726,KXD8483,0,"-22.920554, -43.608165",1690404657000,0,,,18036.3, 
13422,LSI5978,20,"-23.002121, -43.571429",1690405584000,0,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],40637.6,284
13402,LTL5480,19,"-23.002938, -43.424486",1690405605000,0,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],43478.6, 
12730,LSO8993,20,"-23.006603, -43.552503",1690405604000,56.3,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],9539.8,285
86872,LSH7386,18,"-23.000314, -43.367076",1690405608000,41.1,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],22590.2,89
12714,KXC7431,0,"-22.919476, -43.607739",1690402891000,0,,,39737.7, 
86878,LSZ6142,0,"-22.920668, -43.608121",1688673854000,0,,,23732.5, 
47017,LRS2841,12,"-23.000022, -43.41326",1690405605000,0,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],48217.7, 
86859,KWJ9250,20,"-22.920459, -43.681077",1690405600000,40.1,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],18859.1,318
30506,LRC6583,18,"-22.919917, -43.607602",1677872293000,0,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],2161.9, 
30509,KYM4574,10,"-22.916046, -43.607957",1690405610000,0,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],53245.2,1
47008,KPY9735,10,"-22.920562, -43.608147",1686654039000,0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),42835.5, 
12721,KXW7973,10,"-22.920054, -43.607777",1679083219000,0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),986.6, 
12710,KRO9724,18,"-22.999949, -43.352694",1690405602000,5.1,volta,18 - JARDIM OCEÂNICO X RECREIO SHOPPING (EXPRESSO) [VOLTA],38602.3,263
12720,KXD9430,0,"-23.011557, -43.456648",1690405606000,14.8,,,21967.6,256
86802,KQK8699,18,"-23.009375, -43.446487",1690405599000,41.3,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],11832.4,75
12712,LSN8501,10,"-22.997757, -43.590738",1690405603000,51.2,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],31339.3,104
13407,KPY9732,25,"-23.000642, -43.365652",1690404899000,0,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],45700, 
30525,LRC6596,12,"-23.006526, -43.552783",1690405435000,46.2,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],53904.1,284
47019,KWZ8629,25,"-23.002206, -43.366079",1690038986000,0,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],37053.4, 
12703,LSM8771,10,"-22.919891, -43.607869",1687442482000,0,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],30854.4, 
30521,LRC6594,20,"-23.010823, -43.453423",1690405595000,27,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],35049.2,253
50302,LSB7J03,11,"-22.920147, -43.607163",1678539719000,0,ida,11 - SANTA CRUZ X ALVORADA (PARADOR),2822.8, 
12718,KRP5933,12,"-22.920426, -43.607335",1686071564000,0,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],18261.1, 
12739,LMJ4F12,20,"-23.017464, -43.478392",1690405610000,11.5,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],24030.6,74
